Function / Call Stack,Effective Time,Spin Time,Overhead Time,Module,Function (Full),Source File,Start Address
cvt_text_to_ieee_t_ex,0.0273307,0,0,Simulation2015_x64.exe,cvt_text_to_ieee_t_ex,[Unknown],0x140094ce0
CloseHandle,0.0252241,0,0,KERNELBASE.dll,CloseHandle,[Unknown],0x180041f80
PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE,0.0250913,0,0,Simulation2015_x64.exe,PACKAGE_APPUNSATZONE_mp_UPDATESTORAGE,Package_AppUnsatZone.f90,0x140917990
CLASS_BASEAPPSTREAM_mp_GETSUBREGIONALRECVLOSSES,0.0248561,0,0,Simulation2015_x64.exe,CLASS_BASEAPPSTREAM_mp_GETSUBREGIONALRECVLOSSES,Class_BaseAppStream.f90,0x140592810
PACKAGE_APPPUMPING_mp_RESETIRIGFRACS,0.0246891,0,0,Simulation2015_x64.exe,PACKAGE_APPPUMPING_mp_RESETIRIGFRACS,Package_AppPumping.f90,0x1408e0c70
ROOTZONE_V41_mp_ADVANCESTATELOCAL,0.0242091,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ADVANCESTATELOCAL,RootZone_v41.f90,0x14054dd60
IOINTERFACE_mp_WRITEMATRIXDATA,0.0240867,0,0,Simulation2015_x64.exe,IOINTERFACE_mp_WRITEMATRIXDATA,IOInterface_NoDSS.f90,0x1407e8b80
GetCurrentThreadId,0.0240632,0,0,KERNEL32.DLL,GetCurrentThreadId,[Unknown],0x180006150
CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_COMPUTEWATERDEMAND,0.0240376,0,0,Simulation2015_x64.exe,CLASS_URBANLANDUSEGW_mp_URBANLANDUSE_COMPUTEWATERDEMAND,Class_UrbanLandUseGW.f90,0x14054f0e0
_security_check_cookie,0.0239924,0,0,Simulation2015_x64.exe,_security_check_cookie,amdsecgs.asm,0x140943bb0
CLASS_HDF5FILETYPE_mp_WRITEMATRIXDATA_TOSPECIFIEDDATASET,0.0239166,0,0,Simulation2015_x64.exe,CLASS_HDF5FILETYPE_mp_WRITEMATRIXDATA_TOSPECIFIEDDATASET,Class_HDF5FileType.f90,0x1403eba20
ROOTZONE_V41_mp_ROOTZONE_V41_GETDEMANDAGAREAS,0.0235341,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETDEMANDAGAREAS,RootZone_v41.f90,0x14052adc0
H5FL_arr_malloc,0.0232944,0,0,Simulation2015_x64.exe,H5FL_arr_malloc,[Unknown],0x14012da40
CLASS_ASCIIFILETYPE_mp_WRITESINGLEDATA_ASCIIOUTFILE,0.0231575,0,0,Simulation2015_x64.exe,CLASS_ASCIIFILETYPE_mp_WRITESINGLEDATA_ASCIIOUTFILE,Class_AsciiFileType.f90,0x140405690
func@0x1400f1220,0.0231527,0,0,Simulation2015_x64.exe,func@0x1400f1220,[Unknown],0x1400f1220
SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_CHECKSUPPLYDESTINATIONCONNECTION,0.0210044,0,0,Simulation2015_x64.exe,SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_CHECKSUPPLYDESTINATIONCONNECTION,SupplyDestinationConnector.f90,0x140917360
CLASS_APPBC_mp_ISBOUNDARYFLOWNODE,0.0200489,0,0,Simulation2015_x64.exe,CLASS_APPBC_mp_ISBOUNDARYFLOWNODE,Class_AppBC.f90,0x1408b5170
CLASS_APPGW_mp_RESETACTUALPUMPING,0.0200292,0,0,Simulation2015_x64.exe,CLASS_APPGW_mp_RESETACTUALPUMPING,Class_AppGW.f90,0x1408e8530
_libm_log10_l9,0.0199444,0,0,Simulation2015_x64.exe,_libm_log10_l9,[Unknown],0x1400b55b0
CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE,0.0198127,0,0,Simulation2015_x64.exe,CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE,Class_AppGW.f90,0x1408b9f50
PACKAGE_MODEL_mp_ADVANCESTATE,0.0197047,0,0,Simulation2015_x64.exe,PACKAGE_MODEL_mp_ADVANCESTATE,Package_Model.f90,0x14091efc0
ROOTZONE_V41_mp_REGIONALUPSTRMELEMFLOW,0.0195952,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_REGIONALUPSTRMELEMFLOW,RootZone_v41.f90,0x140721ff0
for__format_compiler,0.019588,0,0,Simulation2015_x64.exe,for__format_compiler,[Unknown],0x140086500
H5D__chunk_unlock,0.0195456,0,0,Simulation2015_x64.exe,H5D__chunk_unlock,[Unknown],0x1401cb800
H5VM_memcpyvv,0.0193868,0,0,Simulation2015_x64.exe,H5VM_memcpyvv,[Unknown],0x1401b0660
H5S_mp_H5SSELECT_HYPERSLAB_F,0.0193119,0,0,Simulation2015_x64.exe,H5S_mp_H5SSELECT_HYPERSLAB_F,[Unknown],0x1400027c0
CLASS_APPGW_mp_COMPUTESUBREGIONALGWFLOWEXCHANGE,0.019255,0,0,Simulation2015_x64.exe,CLASS_APPGW_mp_COMPUTESUBREGIONALGWFLOWEXCHANGE,Class_AppGW.f90,0x1408c2240
CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_PRINTRESULTS,0.0191901,0,0,Simulation2015_x64.exe,CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_PRINTRESULTS,Class_AppDiverBypass.f90,0x140597730
CLASS_APPBC_mp_SIMULATE,0.0190859,0,0,Simulation2015_x64.exe,CLASS_APPBC_mp_SIMULATE,Class_AppBC.f90,0x14090e330
H5Sselect_hyperslab,0.0190504,0,0,Simulation2015_x64.exe,H5Sselect_hyperslab,[Unknown],0x1400f5cd0
ROOTZONE_V41_mp_ROOTZONE_V41_GETACTUALRIPARIANET_ATSTRMNODES,0.0189681,0,0,Simulation2015_x64.exe,ROOTZONE_V41_mp_ROOTZONE_V41_GETACTUALRIPARIANET_ATSTRMNODES,RootZone_v41.f90,0x140521c20
func@0x1400f02ef,0.01891,0,0,Simulation2015_x64.exe,func@0x1400f02ef,[Unknown],0x1400f02ef
for_check_mult_overflow64,0.0188644,0,0,Simulation2015_x64.exe,for_check_mult_overflow64,[Unknown],0x1400164a0
func@0x1400f2350,0.0186866,0,0,Simulation2015_x64.exe,func@0x1400f2350,[Unknown],0x1400f2350
CreateFileW,0.0185278,0,0,KERNELBASE.dll,CreateFileW,[Unknown],0x180041840
H5SL_remove,0.0182896,0,0,Simulation2015_x64.exe,H5SL_remove,[Unknown],0x14019ddb0
H5FL_arr_free,0.0182577,0,0,Simulation2015_x64.exe,H5FL_arr_free,[Unknown],0x14012ce40
CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETALLGWNODES,0.0178099,0,0,Simulation2015_x64.exe,CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_GETALLGWNODES,Class_StrmGWConnector_v42.f90,0x140421750
func@0x1400f0fc0,0.0173632,0,0,Simulation2015_x64.exe,func@0x1400f0fc0,[Unknown],0x1400f0fc0
CLASS_ASCIIFILETYPE_mp_READSINGLEDATA_ASCIIINFILE,0.0162999,0,0,Simulation2015_x64.exe,CLASS_ASCIIFILETYPE_mp_READSINGLEDATA_ASCIIINFILE,Class_AsciiFileType.f90,0x1403fdb30
CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_COMPUTEWATERDEMAND,0.0157995,0,0,Simulation2015_x64.exe,CLASS_NATIVERIPARIANLANDUSEGW_mp_NATIVERIPARIANLANDUSE_COMPUTEWATERDEMAND,Class_NativeRiparianLandUseGW.f90,0x140558a30
func@0x14019d9a0,0.0151008,0,0,Simulation2015_x64.exe,func@0x14019d9a0,[Unknown],0x14019d9a0
GetStdHandle,0.0149731,0,0,KERNEL32.DLL,GetStdHandle,[Unknown],0x18000ebb0
LAKEGWCONNECTOR_mp_SIMULATE,0.0149308,0,0,Simulation2015_x64.exe,LAKEGWCONNECTOR_mp_SIMULATE,LakeGWConnector.f90,0x14090f1a0
for_cpstr,0.0148855,0,0,Simulation2015_x64.exe,for_cpstr,[Unknown],0x140015610
