"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"GetLastError","3.04681","KERNELBASE.dll","GetLastError","[Unknown]","0x180013f80"
"CLASS_APPBC_mp_SIMULATE","3.02297","Simulation2015_x64.exe","CLASS_APPBC_mp_SIMULATE","Class_AppBC.f90","0x14090e760"
"func@0x14019bcb0","2.95758","Simulation2015_x64.exe","func@0x14019bcb0","[Unknown]","0x14019bcb0"
"CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_READTSDATA","2.88779","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSE_mp_PONDEDAGLANDUSE_READTSDATA","Class_PondedAgLandUse.f90","0x140570d60"
"memset","2.7951","Simulation2015_x64.exe","memset","memset.asm","0x1409432d0"
"CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","2.71498","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","Class_PairedData.f90","0x14047ba90"
"H5FL_reg_malloc","2.57421","Simulation2015_x64.exe","H5FL_reg_malloc","[Unknown]","0x14012d430"
"ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_URB","2.26253","Simulation2015_x64.exe","ROOTZONE_V40_mp_ROOTZONE_V40_GETELEMENTWATERDEMAND_URB","RootZone_v40.f90","0x140558610"
"CLASS_APPGW_mp_ISBOUNDARYFLOWNODE","2.24471","Simulation2015_x64.exe","CLASS_APPGW_mp_ISBOUNDARYFLOWNODE","Class_AppGW.f90","0x1408b5d50"
"H5S_select_hyperslab","2.23212","Simulation2015_x64.exe","H5S_select_hyperslab","[Unknown]","0x1400f55f0"
"func@0x1401cf510","2.18676","Simulation2015_x64.exe","func@0x1401cf510","[Unknown]","0x1401cf510"
"H5VM_chunk_index","2.1587","Simulation2015_x64.exe","H5VM_chunk_index","[Unknown]","0x1401b0250"
"H5FL_reg_free","2.15821","Simulation2015_x64.exe","H5FL_reg_free","[Unknown]","0x14012ca50"
"CLASS_APPGW_mp_ADVANCESTATE","2.15617","Simulation2015_x64.exe","CLASS_APPGW_mp_ADVANCESTATE","Class_AppGW.f90","0x1409223d0"
"intel_fast_memset","2.1213","Simulation2015_x64.exe","intel_fast_memset","[Unknown]","0x1400b8250"
"CLASS_HDF5FILETYPE_mp_WRITEMATRIXDATA","2.11238","Simulation2015_x64.exe","CLASS_HDF5FILETYPE_mp_WRITEMATRIXDATA","Class_HDF5FileType.f90","0x1403f60b0"
"CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETSUBREGIONALFLOWS","2.01971","Simulation2015_x64.exe","CLASS_BASESTRMGWCONNECTOR_mp_BASESTRMGWCONNECTOR_GETSUBREGIONALFLOWS","Class_BaseStrmGWConnector.f90","0x14042a640"
"ROOTZONE_V40_mp_REGIONALPUMPING","1.92718","Simulation2015_x64.exe","ROOTZONE_V40_mp_REGIONALPUMPING","RootZone_v40.f90","0x140622f40"
"func@0x1401d0370","1.89105","Simulation2015_x64.exe","func@0x1401d0370","[Unknown]","0x1401d0370"
"for_dealloc_allocatable","1.85345","Simulation2015_x64.exe","for_dealloc_allocatable","[Unknown]","0x1400162d0"
"intel_fast_memcpy","1.83955","Simulation2015_x64.exe","intel_fast_memcpy","[Unknown]","0x1400b81a0"
"_crtFlsGetValue","1.74528","Simulation2015_x64.exe","_crtFlsGetValue","winapisupp.c","0x14094d368"
"H5Sget_simple_extent_ndims","1.65621","Simulation2015_x64.exe","H5Sget_simple_extent_ndims","[Unknown]","0x1400eaf40"
"GetLastError","1.56632","KERNEL32.DLL","GetLastError","[Unknown]","0x180006240"
"H5S_select_valid","1.54351","Simulation2015_x64.exe","H5S_select_valid","[Unknown]","0x1400f7f10"
"RtlAllocateHeap","1.52051","ntdll.dll","RtlAllocateHeap","[Unknown]","0x180028860"
"for_allocate","1.46599","Simulation2015_x64.exe","for_allocate","[Unknown]","0x140015d00"
"CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS","1.44884","Simulation2015_x64.exe","CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS","Class_AppDiverBypass.f90","0x140693ca0"
