"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS","0.907758","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_PRINTRESULTS","RootZone_v41.f90","0x1406d6090"
"ROOTZONE_V41_mp_REDISTRIBUTEMOIST","0.901101","Simulation2015_x64.exe","ROOTZONE_V41_mp_REDISTRIBUTEMOIST","RootZone_v41.f90","0x1404d8aa0"
"CLASS_APPGW_mp_GETSUPPLYADJUSTDATA","0.873175","Simulation2015_x64.exe","CLASS_APPGW_mp_GETSUPPLYADJUSTDATA","Class_AppGW.f90","0x1408f55d0"
"CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","0.850755","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_DERIVATIVE","Class_PairedData.f90","0x14040e3d0"
"CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM","0.847228","Simulation2015_x64.exe","CLASS_BASEROOTZONE_mp_COMPUTEREGIONALETPOT_SINGLELUPERELEM","Class_BaseRootZone.f90","0x1404cf9c0"
"SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","0.832704","Simulation2015_x64.exe","SUPPLYDESTINATIONCONNECTOR_mp_SUPPLY_SETSUPPLYSPECS","SupplyDestinationConnector.f90","0x1408f7410"
"GetLastError","0.819913","KERNEL32.DLL","GetLastError","[Unknown]","0x180006240"
"for_allocate","0.814851","Simulation2015_x64.exe","for_allocate","[Unknown]","0x140015d00"
"ROOTZONE_V41_mp_REGIONALDRAIN","0.790623","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALDRAIN","RootZone_v41.f90","0x1406ea960"
"CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","0.768821","Simulation2015_x64.exe","CLASS_PAIREDDATA_mp_PAIREDDATA_INTERPOLATE","Class_PairedData.f90","0x14047ba90"
"_crtFlsGetValue","0.760128","Simulation2015_x64.exe","_crtFlsGetValue","winapisupp.c","0x14094d368"
"errno","0.73172","Simulation2015_x64.exe","errno","dosmap.c","0x140946014"
"cvtas_a_to_t","0.723212","Simulation2015_x64.exe","cvtas_a_to_t","[Unknown]","0x1400a73c0"
"RtlAllocateHeap","0.692573","ntdll.dll","RtlAllocateHeap","[Unknown]","0x180028860"
"aligned_malloc","0.689921","Simulation2015_x64.exe","aligned_malloc","align.c","0x140943fc8"
"for_read_seq_fmt_xmit","0.670228","Simulation2015_x64.exe","for_read_seq_fmt_xmit","[Unknown]","0x1400588a0"
"CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_READTSDATA","0.653698","Simulation2015_x64.exe","CLASS_PONDEDAGLANDUSEGW_mp_PONDEDAGLANDUSE_READTSDATA","Class_PondedAgLandUseGW.f90","0x1404d1ea0"
"CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE","0.628683","Simulation2015_x64.exe","CLASS_APPGW_mp_WRITEGWFLOWSTOBUDFILE","Class_AppGW.f90","0x1408bb0f0"
"PACKAGE_MATRIX_mp_SOLVE","0.622562","Simulation2015_x64.exe","PACKAGE_MATRIX_mp_SOLVE","Package_Matrix.f90","0x1408fe5a0"
"CLASS_APPGW_mp_GETNODALPUMPACTUAL","0.619601","Simulation2015_x64.exe","CLASS_APPGW_mp_GETNODALPUMPACTUAL","Class_AppGW.f90","0x140898f80"
"ROOTZONE_V41_mp_ROOTZONE_V41_SETSUPPLYTOELEM","0.591175","Simulation2015_x64.exe","ROOTZONE_V41_mp_ROOTZONE_V41_SETSUPPLYTOELEM","RootZone_v41.f90","0x1404c1bf0"
"for__acquire_lun","0.573797","Simulation2015_x64.exe","for__acquire_lun","[Unknown]","0x140068940"
"PACKAGE_APPPUMPING_mp_SIMULATE","0.529304","Simulation2015_x64.exe","PACKAGE_APPPUMPING_mp_SIMULATE","Package_AppPumping.f90","0x14090e2a0"
"CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES","0.522254","Simulation2015_x64.exe","CLASS_BASEAPPSTREAM_mp_GETELEMRECVLOSSES","Class_BaseAppStream.f90","0x1405c3290"
"malloc","0.509407","Simulation2015_x64.exe","malloc","malloc.c","0x140943200"
"SetLastError","0.503103","KERNEL32.DLL","SetLastError","[Unknown]","0x1800064b0"
"for_read_seq_fmt","0.500188","Simulation2015_x64.exe","for_read_seq_fmt","[Unknown]","0x140055fd0"
"CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS","0.495136","Simulation2015_x64.exe","CLASS_APPDIVERBYPASS_mp_APPDIVERBYPASS_COMPUTEBYPASS","Class_AppDiverBypass.f90","0x140693ca0"
"for__cvt_value","0.487202","Simulation2015_x64.exe","for__cvt_value","[Unknown]","0x140083e00"
