"Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"GetConsoleMode","0.102838","KERNELBASE.dll","GetConsoleMode","[Unknown]","0x18005dac0"
"CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_COMPUTESTRMGWFLOW_ATMINHEAD","0.10208","Simulation2015_x64.exe","CLASS_STRMGWCONNECTOR_V42_mp_STRMGWCONNECTOR_V42_COMPUTESTRMGWFLOW_ATMINHEAD","Class_StrmGWConnector_v42.f90","0x140444990"
"CLASS_APPGW_mp_GETNODALPUMPACTUAL","0.0975227","Simulation2015_x64.exe","CLASS_APPGW_mp_GETNODALPUMPACTUAL","Class_AppGW.f90","0x140898f80"
"ROOTZONE_V41_mp_REGIONALRETURN","0.095156","Simulation2015_x64.exe","ROOTZONE_V41_mp_REGIONALRETURN","RootZone_v41.f90","0x1406ec500"
"func@0x14002c870","0.0926906","Simulation2015_x64.exe","func@0x14002c870","[Unknown]","0x14002c870"
"H5FL_reg_malloc","0.0903143","Simulation2015_x64.exe","H5FL_reg_malloc","[Unknown]","0x14012d430"
"ROOTZONE_V41_mp_PROCESSLANDUSEAREAS","0.0886771","Simulation2015_x64.exe","ROOTZONE_V41_mp_PROCESSLANDUSEAREAS","RootZone_v41.f90","0x1404d3930"
"aligned_free","0.0871778","Simulation2015_x64.exe","aligned_free","align.c","0x140943fac"
"ADJUSTSUPPLIES_ip_ADJUST","0.0855238","Simulation2015_x64.exe","ADJUSTSUPPLIES_ip_ADJUST","SupplyAdjustment.f90","0x1408f1ad0"
"func@0x1401e9070","0.0842902","Simulation2015_x64.exe","func@0x1401e9070","[Unknown]","0x1401e9070"
"PACKAGE_SUPPLY_mp_SUPPLY","0.0829995","Simulation2015_x64.exe","PACKAGE_SUPPLY_mp_SUPPLY","Package_Supply.f90","0x140910af0"
"CLASS_APPGW_mp_ISBOUNDARYFLOWNODE","0.0822231","Simulation2015_x64.exe","CLASS_APPGW_mp_ISBOUNDARYFLOWNODE","Class_AppGW.f90","0x1408b5d50"
"SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","0.0820611","Simulation2015_x64.exe","SUPPLYADJUSTMENT_mp_TAGADJUSTABLESUPPLIES","SupplyAdjustment.f90","0x1408f26a0"
"SUPPLYDESTINATIONCONNECTOR_mp_INITSUPPLYTOAGURBANFRACS","0.0815829","Simulation2015_x64.exe","SUPPLYDESTINATIONCONNECTOR_mp_INITSUPPLYTOAGURBANFRACS","SupplyDestinationConnector.f90","0x140932d70"
"H5VM_chunk_index","0.0803153","Simulation2015_x64.exe","H5VM_chunk_index","[Unknown]","0x1401b0250"
"for_read_seq_lis_xmit","0.0789014","Simulation2015_x64.exe","for_read_seq_lis_xmit","[Unknown]","0x1400298a0"
"CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS","0.078579","Simulation2015_x64.exe","CLASS_TECPLOTOUTPUT_mp_PRINTRESULTS","Class_TecplotOutput.f90","0x1408c4b40"
